날짜,IT_과학,경제,국제,문화,사회,스포츠,정치,지역,기타,합계
2025.12.1,27,74,7,6,24,2,12,21,46,219
2025.12.2,68,170,19,24,39,12,42,64,42,480
2025.12.3,52,184,32,20,62,11,66,62,22,511
2025.12.4,56,159,21,19,73,9,37,51,21,446
2025.12.5,47,143,31,17,49,15,34,45,11,392
2025.12.6,13,42,11,11,25,13,7,6,7,135
2025.12.7,26,65,19,10,30,11,32,21,6,220
2025.12.8,46,144,25,17,57,15,45,61,17,427
2025.12.9,55,163,27,19,56,13,35,62,24,454
2025.12.10,48,175,34,21,53,14,35,64,20,464
2025.12.11,52,180,41,15,70,16,60,63,19,516
2025.12.12,39,137,21,22,47,12,46,54,27,405
2025.12.13,6,46,22,8,30,15,10,13,6,156
2025.12.14,18,75,17,10,35,6,22,19,12,214
2025.12.15,52,190,35,16,66,13,46,57,13,488
2025.12.16,71,187,26,20,64,12,38,57,24,499
2025.12.17,51,181,18,14,55,7,51,76,15,468
2025.12.18,53,182,20,15,57,14,54,75,21,491
2025.12.19,36,145,30,22,46,14,23,48,21,385
2025.12.20,11,32,23,7,34,12,17,8,8,152
2025.12.21,16,94,20,14,24,8,25,19,13,233
2025.12.22,49,184,27,16,52,13,36,64,22,463
2025.12.23,42,137,17,9,50,5,29,14,69,372
,,,,,,,,,,
1주차,289,837,140,107,302,73,230,270,155,2403
2주차,264,920,187,112,348,91,253,336,125,2636
3주차,290,1011,172,108,346,80,254,340,115,2716
4주차,91,321,44,25,102,18,65,78,91,835
,,,,,,,,,,
전체합계,934,3089,543,352,1098,262,802,1024,486,8590
